query_id,query,search_url,page_loaded,login_wall,visible_result_count,top_10_result_titles,top_10_result_tags_or_labels,top_10_result_types,no_result_text,auto_flags,needs_human_review,claude_relevance_label,claude_issue_type,claude_relevance_reason,claude_confidence,recommended_manual_review_priority
q011,故障艺术风格海报,https://www.curify-ai.com/search?q=%E6%95%85%E9%9A%9C%E8%89%BA%E6%9C%AF%E9%A3%8E%E6%A0%BC%E6%B5%B7%E6%8A%A5,yes,no,10,sha wujing | sun wukong | tang seng | buddha jumps over the wall | four joy meatballs | kung pao chicken | aquarius | aries | cancer | bangkok, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,,possible_filtering_issue,yes,FAIL,bad_relevance;wrong_decomposition,"Results are Journey to the West characters, food dishes, and zodiac signs; nothing related to glitch-art poster style.",high,P0
q012,松弛感生活方式插画,https://www.curify-ai.com/search?q=%E6%9D%BE%E5%BC%9B%E6%84%9F%E7%94%9F%E6%B4%BB%E6%96%B9%E5%BC%8F%E6%8F%92%E7%94%BB,yes,no,10,closet | desk | kitchen | biophilic living room | bohemian wabi sabi bedroom | natural organic bedroom | camera | computer | game console | hairstyle tutorial, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,,possible_filtering_issue,yes,WARN,bad_relevance;missing_content_type,"Some room/lifestyle results (bohemian, wabi-sabi, organic bedroom) fit a relaxed-lifestyle mood, but mixed with unrelated tech/hairstyle items; no clear 'illustration' content type confirmed.",medium,P1
q013,汉服马面裙叠穿灵感图,https://www.curify-ai.com/search?q=%E6%B1%89%E6%9C%8D%E9%A9%AC%E9%9D%A2%E8%A3%99%E5%8F%A0%E7%A9%BF%E7%81%B5%E6%84%9F%E5%9B%BE,yes,no,10,outfit styling | women 3 | qing dynasty buzi | song beizi | sui dynasty | diamond jewelry | miao | yi | Club Sandwich | necklace, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,"Few results for “汉服马面裙叠穿灵感图”. Also showing results for: hanfu layering inspiration, mamen skirt outfit ideas, traditional dress styling guide",query_broadened_by_curify;possible_filtering_issue,yes,WARN,bad_relevance,"Dynasty-garment and ethnic-group results are topically adjacent to Hanfu layering, but include at least one clearly unrelated item (club sandwich).",medium,P1
q014,谷圈应援色贴纸设计,https://www.curify-ai.com/search?q=%E8%B0%B7%E5%9C%88%E5%BA%94%E6%8F%B4%E8%89%B2%E8%B4%B4%E7%BA%B8%E8%AE%BE%E8%AE%A1,yes,no,10,brunch | coffee pasta | korean | Brazil National Team | Argentina National Team | France National Team | graduation alpaca | blessing dragon | bronze rabbit qingqing | deer travel journal, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,,possible_filtering_issue,yes,WARN,missing_content_type;bad_relevance,Character/IP stickers appear (matching the general sticker format) but none reflect the '应援色' (fandom support-color) concept specifically.,low,P1
q015,K-beauty glass skin brand launch visual,https://www.curify-ai.com/search?q=K-beauty%20glass%20skin%20brand%20launch%20visual,yes,no,10,baby care brand | spring beauty festival | summer beach sale | eyemask | musical instrument | pendant | aroma diffuser | bluetooth speaker | coffee maker | Organic Rolled Oats, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,"Few results for “k-beauty glass skin brand launch visual”. Also showing results for: k-beauty brand launch poster, glass skin product visual, k-beauty marketing infographic",query_broadened_by_curify,yes,FAIL,bad_relevance;wrong_decomposition;competitor_gap,"Results are unrelated consumer product categories (eyemask, speaker, coffee maker); no K-beauty brand-launch visual content.",high,P0
q016,Y2K chrome skincare launch poster,https://www.curify-ai.com/search?q=Y2K%20chrome%20skincare%20launch%20poster,yes,no,10,socks | headphones 2 | jacket | problem solvers 03 | beauty products | Shopping for Clothes | casual streetwear male | lego brixo | bubble tea shop | curi ai robot keyring mug notebook pen set, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,"Few results for “y2k chrome skincare launch poster”. Also showing results for: Y2K skincare launch poster, chrome skincare promotional poster, Y2K beauty product launch",query_broadened_by_curify;possible_filtering_issue,yes,FAIL,bad_relevance;wrong_decomposition;competitor_gap,"Results are unrelated consumer categories (socks, headphones, jacket); no Y2K/chrome skincare poster content.",high,P0
q017,adaptogen wellness brand identity,https://www.curify-ai.com/search?q=adaptogen%20wellness%20brand%20identity,yes,no,10,coca cola fizz | curify ai curi | lego brixo | camping fruit event | mika cat bakery | riseup coffee | BREW & CO Coffee Shop brand identity moodboard | Golden Crust Bakery brand identity moodboard | GreenBasket Grocery brand identity moodboard | Brand Identity Moodboard Visual System Poster, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | template,,,yes,WARN,content_gap;missing_content_type,Generic F&B brand-identity moodboard results structurally match 'brand identity' but miss the 'adaptogen/wellness' niche entirely; auto_flags did not flag this despite the mismatch.,medium,P1
q018,clean girl aesthetic skincare packaging mockup,https://www.curify-ai.com/search?q=clean%20girl%20aesthetic%20skincare%20packaging%20mockup,yes,no,10,skincare routine | eyemask | musical instrument | pendant | vtol uav drone | futuristic race car | smartwatch | aroma diffuser | bluetooth speaker | coffee maker, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,"Few results for “clean girl aesthetic skincare packaging mockup”. Also showing results for: clean girl skincare mockup, aesthetic skincare packaging, skincare product design",query_broadened_by_curify,yes,FAIL,bad_relevance;missing_content_type;wrong_decomposition,Only 'skincare routine' is topically close; the rest are unrelated consumer products; no packaging-mockup template surfaced.,high,P0
q019,heritage brand rebrand moodboard,https://www.curify-ai.com/search?q=heritage%20brand%20rebrand%20moodboard,yes,no,10,BREW & CO Coffee Shop brand identity moodboard | Golden Crust Bakery brand identity moodboard | GreenBasket Grocery brand identity moodboard | beijing | nanjing | en 1 | en 4 | en 5 | twelve beauties jinling 2 | student wizard school, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,"Few results for “heritage brand rebrand moodboard”. Also showing results for: heritage brand mood board, branding mood board, rebranding design inspiration",query_broadened_by_curify,yes,WARN,bad_relevance;content_gap,First three results are genuine brand-identity moodboards (structural match) but remaining results are unrelated city/wizard-school content; 'heritage/rebrand' specificity is missing.,medium,P1
q020,probiotic skincare brand visual system,https://www.curify-ai.com/search?q=probiotic%20skincare%20brand%20visual%20system,yes,no,4,BREW & CO Coffee Shop brand identity moodboard | Golden Crust Bakery brand identity moodboard | GreenBasket Grocery brand identity moodboard | Brand Identity Moodboard Visual System Poster, |  |  | ,inspiration | inspiration | inspiration | template,,,yes,WARN,content_gap,"All 4 results are genuine brand visual-system/moodboard content (best structural match in this batch), but the 'probiotic skincare' niche is not specifically represented.",medium,P1
q021,二手奢侈品鉴定品牌视觉,https://www.curify-ai.com/search?q=%E4%BA%8C%E6%89%8B%E5%A5%A2%E4%BE%88%E5%93%81%E9%89%B4%E5%AE%9A%E5%93%81%E7%89%8C%E8%A7%86%E8%A7%89,yes,no,4,eyemask | musical instrument | pendant | Fashion E-commerce Details Category, |  |  | ,inspiration | inspiration | inspiration | template,,possible_filtering_issue,yes,FAIL,bad_relevance;wrong_decomposition,"Only 4 results, mostly unrelated (eyemask, musical instrument, pendant); one fashion e-commerce template is loosely luxury-adjacent but weak.",medium,P0
q022,健身教练私教工作室品牌,https://www.curify-ai.com/search?q=%E5%81%A5%E8%BA%AB%E6%95%99%E7%BB%83%E7%A7%81%E6%95%99%E5%B7%A5%E4%BD%9C%E5%AE%A4%E5%93%81%E7%89%8C,yes,no,10,gym | running | swimming | hack squat tbar row incline bench press hip abductor | leg extension bicep curl tricep dip ab crunch | leg press lat pulldown chest press cable row | back pain yoga | knee pain yoga | lower back pain yoga | career, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,,possible_filtering_issue,yes,WARN,missing_content_type,"Fitness/gym/yoga content is topically on-target for a fitness-studio brand query, but no brand-identity/logo template format was returned.",medium,P1
q023,儿童安全座椅品牌视觉,https://www.curify-ai.com/search?q=%E5%84%BF%E7%AB%A5%E5%AE%89%E5%85%A8%E5%BA%A7%E6%A4%85%E5%93%81%E7%89%8C%E8%A7%86%E8%A7%89,yes,no,10,eyemask | musical instrument | pendant | cat | duck | guinea pig | baby care brand | spring beauty festival | summer beach sale | Pet Safe Food Infographic, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | template,,possible_filtering_issue,yes,FAIL,bad_relevance;wrong_decomposition;competitor_gap,"'baby care brand' is loosely adjacent; the rest (pets, random items) is unrelated; no car-seat or safety-visual content.",high,P0
q024,功能性咖啡品牌包装,https://www.curify-ai.com/search?q=%E5%8A%9F%E8%83%BD%E6%80%A7%E5%92%96%E5%95%A1%E5%93%81%E7%89%8C%E5%8C%85%E8%A3%85,yes,no,10,coffee maker | espresso coffee beans | riseup coffee | BREW & CO Coffee Shop brand identity moodboard | coffee drinks | coffee | coffee history | coffee brewing | coffee pasta | coffee lovers, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,"Few results for “功能性咖啡品牌包装”. Also showing results for: functional coffee brand packaging, coffee brand design, packaging for coffee products",query_broadened_by_curify;possible_filtering_issue,yes,WARN,missing_content_type,"Strong topical coffee-brand match (coffee moodboard, coffee brewing/history content) but no packaging-specific template and the 'functional coffee' niche is unaddressed.",medium,P1
q025,博物馆文创联名产品设计,https://www.curify-ai.com/search?q=%E5%8D%9A%E7%89%A9%E9%A6%86%E6%96%87%E5%88%9B%E8%81%94%E5%90%8D%E4%BA%A7%E5%93%81%E8%AE%BE%E8%AE%A1,yes,no,10,british industrial revolution | western art development | chinese social changes | dunhuang mogao grottoes | four sheep square zun | simu wu ding | vtol uav drone | futuristic race car | smartwatch | apple, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,,possible_filtering_issue,yes,WARN,bad_relevance,"Top half of results (Dunhuang Mogao Grottoes, Simuwu Ding, Four-Sheep Square Zun) are genuine museum/cultural-heritage artifacts, strongly on-topic; bottom half (drone, race car, smartwatch) is unrelated noise.",medium,P1
q026,国货美妆联名限定包装,https://www.curify-ai.com/search?q=%E5%9B%BD%E8%B4%A7%E7%BE%8E%E5%A6%86%E8%81%94%E5%90%8D%E9%99%90%E5%AE%9A%E5%8C%85%E8%A3%85,yes,no,5,beauty products | grapes | Fruit Commercial Lifestyle Infographic Poster | Fruit Commercial Lifestyle Infographic Poster | Fruit Commercial Lifestyle Infographic Poster, |  |  |  | ,inspiration | inspiration | template | template | template,"Few results for “国货美妆联名限定包装”. Also showing results for: Chinese beauty collaboration packaging, limited edition beauty products, national brand makeup design",query_broadened_by_curify;possible_filtering_issue,yes,FAIL,bad_relevance;missing_content_type,"'beauty products' is topically relevant but remaining results are unrelated fruit infographics; only 5 results, no packaging-specific template.",medium,P0
q027,宠物摄影工作室品牌设计,https://www.curify-ai.com/search?q=%E5%AE%A0%E7%89%A9%E6%91%84%E5%BD%B1%E5%B7%A5%E4%BD%9C%E5%AE%A4%E5%93%81%E7%89%8C%E8%AE%BE%E8%AE%A1,yes,no,10,cheesy bacon burger bites | chocolate lava cake | classic margherita pizza | friends | howls moving castle | neighbor totoro | cat | duck | guinea pig | casual streetwear male, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,,possible_filtering_issue,yes,FAIL,bad_relevance;wrong_decomposition;missing_content_type,"Pet subject (cat, duck, guinea pig) is present but mixed with unrelated food/anime results; no photography-studio brand template.",high,P0
q028,宠物殡葬服务品牌视觉设计,https://www.curify-ai.com/search?q=%E5%AE%A0%E7%89%A9%E6%AE%A1%E8%91%AC%E6%9C%8D%E5%8A%A1%E5%93%81%E7%89%8C%E8%A7%86%E8%A7%89%E8%AE%BE%E8%AE%A1,yes,no,10,en 1 | en 2 | en 3 | eyemask | musical instrument | pendant | cat | duck | guinea pig | bai, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,,possible_filtering_issue,yes,WARN,safety_risk;bad_relevance;content_gap,Query concerns pet funeral/memorial services (sensitive topic). Pet subject appears in results but no funeral/memorial-specific content; recommend review for sensitive-topic handling. Note: pet-funeral context is lower severity than human funeral.,medium,P1
q029,家用医疗器械品牌设计,https://www.curify-ai.com/search?q=%E5%AE%B6%E7%94%A8%E5%8C%BB%E7%96%97%E5%99%A8%E6%A2%B0%E5%93%81%E7%89%8C%E8%AE%BE%E8%AE%A1,yes,no,10,baby care brand | spring beauty festival | summer beach sale | Organic Rolled Oats | Double Chocolate Cookies | Italian Pasta Sauce | blessing dragon | bronze rabbit qingqing | deer travel journal | label printer, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,,possible_filtering_issue,yes,FAIL,bad_relevance;wrong_decomposition;competitor_gap,Results are unrelated consumer brand/food/character content; nothing related to home medical devices.,high,P0
q030,手冲咖啡工作室视觉手册,https://www.curify-ai.com/search?q=%E6%89%8B%E5%86%B2%E5%92%96%E5%95%A1%E5%B7%A5%E4%BD%9C%E5%AE%A4%E8%A7%86%E8%A7%89%E6%89%8B%E5%86%8C,yes,no,8,bai | buyi | miao | ghibli vs mappa | kyotoani vs ufotable 1 | kyotoani vs ufotable 2 | Ethnic Costume Deconstruction Board | Ethnic Costume Deconstruction Board, |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | template | template,,possible_filtering_issue,yes,FAIL,bad_relevance;wrong_decomposition;competitor_gap,Results are ethnic-group and anime-studio-comparison content; nothing related to coffee or brand visual manuals.,high,P0
q031,手工皂工作室品牌视觉,https://www.curify-ai.com/search?q=%E6%89%8B%E5%B7%A5%E7%9A%82%E5%B7%A5%E4%BD%9C%E5%AE%A4%E5%93%81%E7%89%8C%E8%A7%86%E8%A7%89,yes,no,10,eyemask | musical instrument | pendant | casual streetwear male | classic prep female | cozy summer male | bai | buyi | miao | ghibli vs mappa, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,,possible_filtering_issue,yes,FAIL,bad_relevance;wrong_decomposition;competitor_gap,Results are unrelated consumer/apparel/ethnic-group content; nothing related to handmade soap or brand visuals.,high,P0
q032,知识付费博主课程品牌,https://www.curify-ai.com/search?q=%E7%9F%A5%E8%AF%86%E4%BB%98%E8%B4%B9%E5%8D%9A%E4%B8%BB%E8%AF%BE%E7%A8%8B%E5%93%81%E7%89%8C,yes,no,10,avocado | blueberry | chilean cherries | Journey to the West 1 | Journey to the West 2 | Journey to the West 3 | Healthy Lifestyle Journey | Time Management Mastery | Sustainable Living Guide | Book Interpretation Series Graphic, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | template,,possible_filtering_issue,yes,WARN,bad_relevance;missing_content_type,"Several results (Time Management Mastery, Book Interpretation Series, Healthy Lifestyle Journey) are genuinely course/self-improvement content, but no branding/logo template surfaced, and fruit/Journey-to-the-West items are noise.",medium,P1
q033,美妆博主个人IP视觉设计,https://www.curify-ai.com/search?q=%E7%BE%8E%E5%A6%86%E5%8D%9A%E4%B8%BB%E4%B8%AA%E4%BA%BAIP%E8%A7%86%E8%A7%89%E8%AE%BE%E8%AE%A1,yes,no,10,en 1 | en 2 | en 3 | chinese figure fengshenbang | chinese figure mudan ting | chinese figure water margin | ashitaka | chihiro | howl | debt habits part 1, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,,possible_filtering_issue,yes,FAIL,bad_relevance;wrong_decomposition;competitor_gap,Results are mythological figures and Ghibli characters; nothing related to a beauty blogger's personal IP visual design.,high,P0
q034,Amazon EBC enhanced brand content layout,https://www.curify-ai.com/search?q=Amazon%20EBC%20enhanced%20brand%20content%20layout,yes,no,0,,,,"No results for ""amazon ebc enhanced brand content layout""",zero_result,yes,FAIL,zero_result,Zero results returned for this query.,high,P0
q035,Amazon Vine review request insert card,https://www.curify-ai.com/search?q=Amazon%20Vine%20review%20request%20insert%20card,yes,no,0,,,,"No results for ""amazon vine review request insert card""",zero_result,yes,FAIL,zero_result,Zero results returned for this query.,high,P0
q036,Amazon brand story module design,https://www.curify-ai.com/search?q=Amazon%20brand%20story%20module%20design,yes,no,2,capybara jiangyuan | Brand IP Full Design Display Board, | ,inspiration | template,,low_result,yes,FAIL,low_result;bad_relevance,Only 2 results; 'Brand IP Full Design Display Board' is loosely on-topic but 'capybara jiangyuan' is an unrelated character IP.,medium,P0
q037,TikTok GRWM product placement mockup,https://www.curify-ai.com/search?q=TikTok%20GRWM%20product%20placement%20mockup,yes,no,0,,,,"No results for ""tiktok grwm product placement mockup""",zero_result,yes,FAIL,zero_result,Zero results returned for this query.,high,P0
q038,亚马逊A+页面模块设计,https://www.curify-ai.com/search?q=%E4%BA%9A%E9%A9%AC%E9%80%8AA%2B%E9%A1%B5%E9%9D%A2%E6%A8%A1%E5%9D%97%E8%AE%BE%E8%AE%A1,yes,no,0,,,,"No results for ""亚马逊a+页面模块设计""",zero_result,yes,FAIL,zero_result,Zero results returned for this query.,high,P0
q039,亚马逊评论截图水印素材,https://www.curify-ai.com/search?q=%E4%BA%9A%E9%A9%AC%E9%80%8A%E8%AF%84%E8%AE%BA%E6%88%AA%E5%9B%BE%E6%B0%B4%E5%8D%B0%E7%B4%A0%E6%9D%90,yes,no,2,curi ai robot mood stickers | IP Emoji Sticker Sheet Poster, | ,inspiration | template,"Few results for “亚马逊评论截图水印素材”. Also showing results for: Amazon review screenshot template, watermark design for reviews, screenshot watermark material",low_result;query_broadened_by_curify;possible_filtering_issue,yes,FAIL,low_result;bad_relevance;wrong_decomposition,"Only 2 results (robot mood stickers, emoji sticker sheet), both unrelated to Amazon review screenshot watermark material.",high,P1
