query_id,query,primary_scene,secondary_scene,query_style,expected_content_type,priority,confidence,keep_or_review,planned_test_type,selected_reason,likely_recall_challenge,likely_filtering_challenge,content_gap_hypothesis
q011,故障艺术风格海报,文创,品牌,Liblib-like,illustration/reference,P0,medium,keep,recall,P0&keep主池代表样本：文创场景「AI绘画风格黑话」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,质感/风格形容词(「故障艺术」)作为核心限定，Curify的标签体系可能没有覆盖这一风格维度,需按风格/质感维度过滤，而非仅按主体品类过滤,风格化标签体系(而非品类标签)可能是Curify内容分类的结构性缺口
q012,松弛感生活方式插画,文创,品牌,Liblib-like,illustration/reference,P0,medium,keep,recall,P0&keep主池代表样本：文创场景「AI绘画风格黑话」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,质感/风格形容词(「松弛感」)作为核心限定，Curify的标签体系可能没有覆盖这一风格维度,需按风格/质感维度过滤，而非仅按主体品类过滤,风格化标签体系(而非品类标签)可能是Curify内容分类的结构性缺口
q013,汉服马面裙叠穿灵感图,文创,品牌,Pinterest-like,illustration/moodboard,P0,medium,keep,filtering,P0&keep主池代表样本：文创场景「汉服国风穿搭」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,「马面裙叠穿」这一细分服饰/场景专有名词，Curify可能简化召回为泛化古风图片,需区分具体形制/场景 vs 泛化古风/汉服模板,「马面裙叠穿」这一细分场景的插画/摄影素材可能不足
q014,谷圈应援色贴纸设计,文创,营销电商,Xiaohongshu-like,sticker,P1,low,review,content_gap,"人工补选的边界压力测试样本（priority=P1, keep_or_review=review）：通用（无细分子领域）子领域中信号最极端/最冷门的一条，专门用于探测「内容缺口 vs 召回问题」的判断边界，不属于常规P0&keep主池",圈层黑话「应援色」，字面「颜色」无法体现其「为特定对象应援」的语义，考验圈层文化理解深度,需理解应援色对应特定角色/偶像的专属色号，而非泛化配色方案,饭圈应援色相关的贴纸设计素材可能完全缺失
q015,K-beauty glass skin brand launch visual,品牌,营销电商,Pinterest-like,poster/product photo,P0,medium,keep,both,P0&keep主池代表样本：品牌场景「通用（无细分子领域）」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,具体美容概念专有名词，Curify若不理解该概念可能召回泛化护肤海报,需区分玻璃肌视觉(高光通透感) vs 普通护肤海报,细分美容概念的视觉素材可能不足
q016,Y2K chrome skincare launch poster,品牌,营销电商,Pinterest-like,poster/product photo,P0,medium,keep,both,P0&keep主池代表样本：品牌场景「通用（无细分子领域）」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,「chrome」质感词+「Y2K」年代风格词叠加，Curify可能只理解其中一个维度,需区分金属质感风格 vs 普通新品海报,潮流美学+新品发布的组合内容可能缺失
q017,adaptogen wellness brand identity,品牌,营销电商,Canva-template-like,brand kit/packaging,P0,medium,keep,recall,P0&keep主池代表样本：品牌场景「DTC新消费品牌」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,细分新消费品类「adaptogen」，若Curify语料滞后于该赛道趋势，可能召回不足,需区分该细分赛道调性 vs 传统同大类品牌视觉,「adaptogen」这一新消费细分赛道的品牌视觉参考素材可能不足
q018,clean girl aesthetic skincare packaging mockup,品牌,营销电商,Pinterest-like,packaging mockup,P0,medium,keep,both,P0&keep主池代表样本：品牌场景「通用（无细分子领域）」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,趋势美学词+具体产出形态(mockup)，需要同时理解风格与格式,需区分clean girl极简风 vs 普通极简包装,趋势美学的包装样机内容可能不足
q019,heritage brand rebrand moodboard,品牌,文创,mixed,brand kit/packaging,P0,medium,keep,content_gap,P0&keep主池代表样本：品牌场景「联名焕新」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,联名/焕新类查询通常隐含「新旧元素融合」或「双品牌元素叠加」，Curify可能只召回单一维度,需同时满足新旧调性融合或双品牌元素的过滤要求，难度较高,「heritage brand rebrand」这一联名/焕新场景的组合类视觉素材可能几乎不存在
q020,probiotic skincare brand visual system,品牌,营销电商,Canva-template-like,brand kit/packaging,P0,medium,keep,recall,P0&keep主池代表样本：品牌场景「DTC新消费品牌」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,细分新消费品类「probiotic skincare」，若Curify语料滞后于该赛道趋势，可能召回不足,需区分该细分赛道调性 vs 传统同大类品牌视觉,「probiotic skincare」这一新消费细分赛道的品牌视觉参考素材可能不足
q021,二手奢侈品鉴定品牌视觉,品牌,营销电商,mixed,brand kit,P0,medium,keep,content_gap,P0&keep主池代表样本：品牌场景「垂类品牌矩阵」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,长尾垂类「二手奢侈品鉴定」，Curify可能没有专门覆盖该细分品类的品牌视觉标签,需区分该垂类调性 vs 相邻大类的泛化品牌素材,「二手奢侈品鉴定」这一垂类的品牌视觉设计内容可能是空白
q022,健身教练私教工作室品牌,品牌,文创,Xiaohongshu-like,brand kit,P0,medium,keep,both,P0&keep主池代表样本：品牌场景「网红IP品牌」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,创作者经济细分场景「私教工作室」，Curify可能缺少对应的内容形态标签,需区分创作者IP调性 vs 传统企业品牌调性,「私教工作室」这一创作者经济细分场景的视觉素材可能不足
q023,儿童安全座椅品牌视觉,品牌,营销电商,mixed,brand kit,P0,medium,keep,content_gap,P0&keep主池代表样本：品牌场景「垂类品牌矩阵」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,长尾垂类「儿童安全座椅」，Curify可能没有专门覆盖该细分品类的品牌视觉标签,需区分该垂类调性 vs 相邻大类的泛化品牌素材,「儿童安全座椅」这一垂类的品牌视觉设计内容可能是空白
q024,功能性咖啡品牌包装,品牌,营销电商,Canva-template-like,brand kit/packaging,P0,medium,keep,recall,P0&keep主池代表样本：品牌场景「DTC新消费品牌」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,细分新消费品类「功能性咖啡」，若Curify语料滞后于该赛道趋势，可能召回不足,需区分该细分赛道调性 vs 传统同大类品牌视觉,「功能性咖啡」这一新消费细分赛道的品牌视觉参考素材可能不足
q025,博物馆文创联名产品设计,品牌,文创,mixed,brand kit/packaging,P0,medium,keep,content_gap,P0&keep主池代表样本：品牌场景「联名焕新」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,联名/焕新类查询通常隐含「新旧元素融合」或「双品牌元素叠加」，Curify可能只召回单一维度,需同时满足新旧调性融合或双品牌元素的过滤要求，难度较高,「博物馆文创联名」这一联名/焕新场景的组合类视觉素材可能几乎不存在
q026,国货美妆联名限定包装,品牌,文创,mixed,brand kit/packaging,P0,medium,keep,content_gap,P0&keep主池代表样本：品牌场景「联名焕新」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,联名/焕新类查询通常隐含「新旧元素融合」或「双品牌元素叠加」，Curify可能只召回单一维度,需同时满足新旧调性融合或双品牌元素的过滤要求，难度较高,「国货美妆联名」这一联名/焕新场景的组合类视觉素材可能几乎不存在
q027,宠物摄影工作室品牌设计,品牌,营销电商,mixed,brand kit,P0,medium,keep,content_gap,P0&keep主池代表样本：品牌场景「小微本地品牌」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,细分本地业态「宠物摄影工作室」，Curify可能没有对应的行业细分品牌素材标签,需区分该细分业态调性 vs 泛化「小店品牌」素材,「宠物摄影工作室」这一细分本地业态的品牌视觉素材可能是空白
q028,宠物殡葬服务品牌视觉设计,品牌,,mixed,brand kit,P2,low,review,content_gap,"人工补选的边界压力测试样本（priority=P2, keep_or_review=review）：通用（无细分子领域）子领域中信号最极端/最冷门的一条，专门用于探测「内容缺口 vs 召回问题」的判断边界，不属于常规P0&keep主池",极小众冷门服务品类，几乎不可能有直接对应素材，是覆盖率下限压力测试,无,边缘冷门服务业态的品牌视觉内容几乎必然缺失
q029,家用医疗器械品牌设计,品牌,营销电商,mixed,brand kit,P0,medium,keep,content_gap,P0&keep主池代表样本：品牌场景「垂类品牌矩阵」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,长尾垂类「家用医疗器械」，Curify可能没有专门覆盖该细分品类的品牌视觉标签,需区分该垂类调性 vs 相邻大类的泛化品牌素材,「家用医疗器械」这一垂类的品牌视觉设计内容可能是空白
q030,手冲咖啡工作室视觉手册,品牌,营销电商,mixed,brand kit,P0,medium,keep,content_gap,P0&keep主池代表样本：品牌场景「小微本地品牌」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,细分本地业态「手冲咖啡工作室」，Curify可能没有对应的行业细分品牌素材标签,需区分该细分业态调性 vs 泛化「小店品牌」素材,「手冲咖啡工作室」这一细分本地业态的品牌视觉素材可能是空白
q031,手工皂工作室品牌视觉,品牌,营销电商,mixed,brand kit,P0,medium,keep,content_gap,P0&keep主池代表样本：品牌场景「小微本地品牌」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,细分本地业态「手工皂工作室」，Curify可能没有对应的行业细分品牌素材标签,需区分该细分业态调性 vs 泛化「小店品牌」素材,「手工皂工作室」这一细分本地业态的品牌视觉素材可能是空白
q032,知识付费博主课程品牌,品牌,文创,Xiaohongshu-like,brand kit,P0,medium,keep,both,P0&keep主池代表样本：品牌场景「网红IP品牌」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,创作者经济细分场景「知识付费课程品牌」，Curify可能缺少对应的内容形态标签,需区分创作者IP调性 vs 传统企业品牌调性,「知识付费课程品牌」这一创作者经济细分场景的视觉素材可能不足
q033,美妆博主个人IP视觉设计,品牌,文创,Xiaohongshu-like,brand kit,P0,medium,keep,both,P0&keep主池代表样本：品牌场景「网红IP品牌」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,创作者经济细分场景「美妆博主IP」，Curify可能缺少对应的内容形态标签,需区分创作者IP调性 vs 传统企业品牌调性,「美妆博主IP」这一创作者经济细分场景的视觉素材可能不足
q034,Amazon EBC enhanced brand content layout,营销电商,品牌,ecommerce-ops,template/infographic,P0,medium,keep,recall,P0&keep主池代表样本：营销电商场景「跨境电商metadata」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,平台官方专属术语「EBC layout」，考验Curify对具体跨境电商平台规范格式的理解,需区分平台规范格式 vs 泛化产品图/详情页,「EBC layout」这一平台规范格式类素材可能缺失
q035,Amazon Vine review request insert card,营销电商,品牌,ecommerce-ops,template/infographic,P0,medium,keep,recall,P0&keep主池代表样本：营销电商场景「跨境电商metadata」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,平台官方专属术语「Vine insert card」，考验Curify对具体跨境电商平台规范格式的理解,需区分平台规范格式 vs 泛化产品图/详情页,「Vine insert card」这一平台规范格式类素材可能缺失
q036,Amazon brand story module design,营销电商,品牌,ecommerce-ops,template/infographic,P0,medium,keep,recall,P0&keep主池代表样本：营销电商场景「跨境电商metadata」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,平台官方专属术语「brand story module」，考验Curify对具体跨境电商平台规范格式的理解,需区分平台规范格式 vs 泛化产品图/详情页,「brand story module」这一平台规范格式类素材可能缺失
q037,TikTok GRWM product placement mockup,营销电商,品牌,ecommerce-ops,poster/template,P0,medium,keep,filtering,P0&keep主池代表样本：营销电商场景「抖音直播电商」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,直播电商专属运营场景「TikTok GRWM」，Curify可能没有覆盖该具体直播工作流环节的素材需求,需区分该具体直播运营场景 vs 泛化促销海报,「TikTok GRWM」这一直播电商运营环节的素材可能不足
q038,亚马逊A+页面模块设计,营销电商,品牌,ecommerce-ops,template,P0,medium,keep,both,P0&keep主池代表样本：营销电商场景「通用（无细分子领域）」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,平台官方专属术语，考验Curify对具体电商平台规范格式的理解,需区分A+页面模块格式(图文交替/对比表) vs 普通详情页,平台规范格式类模板可能缺失
q039,亚马逊评论截图水印素材,营销电商,品牌,ecommerce-ops,product photo/social proof asset,P2,low,review,content_gap,"人工补选的边界压力测试样本（priority=P2, keep_or_review=review）：通用（无细分子领域）子领域中信号最极端/最冷门的一条，专门用于探测「内容缺口 vs 召回问题」的判断边界，不属于常规P0&keep主池",非常规内容形态(截图+水印组合)，测试Curify能否理解「社交证明素材」这一边缘品类,无,社交证明类素材几乎必然不在常规设计模板库范围内
q040,小红书图文笔记模板 数字标题,营销电商,文创,Xiaohongshu-like,social post/cover,P0,medium,keep,filtering,P0&keep主池代表样本：营销电商场景「小红书运营」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,小红书专属运营黑话「数字标题模板」，Curify若不理解该平台内容惯例，可能召回普通电商图而非平台原生内容风格,需区分平台原生内容感(生活化/真实感) vs 商业精修广告图,「数字标题模板」这一小红书专属内容形态的素材可能与普通商拍素材混淆
q041,小红书对比图 use前后,营销电商,文创,Xiaohongshu-like,social post/cover,P0,medium,keep,filtering,P0&keep主池代表样本：营销电商场景「小红书运营」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,小红书专属运营黑话「use前后对比图」，Curify若不理解该平台内容惯例，可能召回普通电商图而非平台原生内容风格,需区分平台原生内容感(生活化/真实感) vs 商业精修广告图,「use前后对比图」这一小红书专属内容形态的素材可能与普通商拍素材混淆
q042,小红书封面模板 白底大字,营销电商,文创,Xiaohongshu-like,template,P0,medium,keep,both,P0&keep主池代表样本：营销电商场景「通用（无细分子领域）」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,极具体的排版惯例描述(而非风格词)，考验Curify对具体版式规范的匹配能力,需精确匹配「白底+大字」这一具体版式，而非泛化「简约封面」,该具体版式惯例的模板可能被简化为泛化简约风格
q043,小红书探店打卡九宫格,营销电商,文创,Xiaohongshu-like,social post/cover,P0,medium,keep,filtering,P0&keep主池代表样本：营销电商场景「小红书运营」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,小红书专属运营黑话「探店打卡九宫格」，Curify若不理解该平台内容惯例，可能召回普通电商图而非平台原生内容风格,需区分平台原生内容感(生活化/真实感) vs 商业精修广告图,「探店打卡九宫格」这一小红书专属内容形态的素材可能与普通商拍素材混淆
q044,小红书探店笔记封面,营销电商,文创,Xiaohongshu-like,social post cover,P0,medium,keep,both,P0&keep主池代表样本：营销电商场景「通用（无细分子领域）」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,具体内容类型黑话，与普通商家营销图的视角不同(第一人称体验视角),需区分探店内容的第一人称视角 vs 商家官方视角素材,探店类内容封面素材可能不足
q045,小红书爆款封面 emoji风,营销电商,文创,Xiaohongshu-like,social post/cover,P0,medium,keep,filtering,P0&keep主池代表样本：营销电商场景「小红书运营」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,小红书专属运营黑话「emoji风封面」，Curify若不理解该平台内容惯例，可能召回普通电商图而非平台原生内容风格,需区分平台原生内容感(生活化/真实感) vs 商业精修广告图,「emoji风封面」这一小红书专属内容形态的素材可能与普通商拍素材混淆
q046,小红书香薰产品种草图,营销电商,文创,Xiaohongshu-like,social post/product photo,P0,high,keep,both,P0&keep主池代表样本：营销电商场景「通用（无细分子领域）」子领域的代表query，confidence=high（有具体外部信号佐证，确定性最高），入选以保证该子领域在gold set中有覆盖,「种草图」这一平台专属格式(强调场景感/真实感而非精修商业感)，Curify可能只召回商业产品照,需区分种草风格(生活场景植入) vs 电商精修产品图,小红书种草风格内容形态可能与普通商拍图混淆
q047,抖音小黄车商品卡片设计,营销电商,品牌,ecommerce-ops,poster/template,P0,medium,keep,filtering,P0&keep主池代表样本：营销电商场景「抖音直播电商」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,直播电商专属运营场景「小黄车商品卡片」，Curify可能没有覆盖该具体直播工作流环节的素材需求,需区分该具体直播运营场景 vs 泛化促销海报,「小黄车商品卡片」这一直播电商运营环节的素材可能不足
q048,抖音带货主播人设海报,营销电商,品牌,ecommerce-ops,poster/template,P0,medium,keep,filtering,P0&keep主池代表样本：营销电商场景「抖音直播电商」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,直播电商专属运营场景「主播人设海报」，Curify可能没有覆盖该具体直播工作流环节的素材需求,需区分该具体直播运营场景 vs 泛化促销海报,「主播人设海报」这一直播电商运营环节的素材可能不足
q049,社群接龙团购价目表,营销电商,品牌,ecommerce-ops,poster/infographic,P0,low,keep,content_gap,P0&keep主池代表样本：营销电商场景「私域会员运营」子领域的代表query，confidence=low（推断性较强，本身即是压力测试对象），入选以保证该子领域在gold set中有覆盖,私域运营黑话「接龙价目表」，字面无法直接映射视觉元素，需理解具体运营场景语境,需将抽象运营术语转化为具体视觉呈现(如群发海报/任务卡片结构),私域运营黑话「接龙价目表」对应的视觉素材可能空白
q050,私域用户运营SOP流程图,营销电商,品牌,ecommerce-ops,poster/infographic,P0,low,keep,content_gap,P0&keep主池代表样本：营销电商场景「私域会员运营」子领域的代表query，confidence=low（推断性较强，本身即是压力测试对象），入选以保证该子领域在gold set中有覆盖,私域运营黑话「私域SOP流程图」，字面无法直接映射视觉元素，需理解具体运营场景语境,需将抽象运营术语转化为具体视觉呈现(如群发海报/任务卡片结构),私域运营黑话「私域SOP流程图」对应的视觉素材可能空白
q051,私域裂变任务宝海报,营销电商,品牌,ecommerce-ops,poster/infographic,P0,low,keep,content_gap,P0&keep主池代表样本：营销电商场景「私域会员运营」子领域的代表query，confidence=low（推断性较强，本身即是压力测试对象），入选以保证该子领域在gold set中有覆盖,私域运营黑话「裂变任务宝」，字面无法直接映射视觉元素，需理解具体运营场景语境,需将抽象运营术语转化为具体视觉呈现(如群发海报/任务卡片结构),私域运营黑话「裂变任务宝」对应的视觉素材可能空白
q052,Gen Alpha slang classroom poster,教育,文创,teacher-resource,poster,P0,medium,keep,both,P0&keep主池代表样本：教育场景「通用（无细分子领域）」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,教育内容+网络流行语结合，是快速迭代的时效性内容，测试Curify语料更新速度,需理解该海报是教师用流行语拉近与学生距离的沟通工具，而非单纯流行语科普,结合最新网络流行语的教学素材时效性缺口明显
q053,IEP accommodations checklist visual,教育,文创,teacher-resource,template/chart,P0,medium,keep,recall,P0&keep主池代表样本：教育场景「教师资源黑话」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,教师圈层专属术语「IEP accommodations checklist」，Curify若不理解该具体教学工具形态，可能召回泛化教育海报,需理解该术语对应的具体物料结构/格式，而非泛化内容主题,「IEP accommodations checklist」这一具体教学工具形态的模板可能不足
q054,Montessori butterfly life cycle 3 part cards,教育,文创,teacher-resource,activity card/flashcard,P0,high,keep,both,P0&keep主池代表样本：教育场景「通用（无细分子领域）」子领域的代表query，confidence=high（有具体外部信号佐证，确定性最高），入选以保证该子领域在gold set中有覆盖,极具体的教学法专用格式术语，Curify若不理解「3 part cards」这一蒙氏专属格式，会召回普通识字卡而非三件套结构,需理解该格式包含三种卡片的固定套组结构，而非单张卡片,蒙氏专属教具格式内容可能被简化为普通识字卡，丢失三件套结构
q055,RTI intervention tracker template,教育,文创,teacher-resource,template/chart,P0,medium,keep,recall,P0&keep主池代表样本：教育场景「教师资源黑话」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,教师圈层专属术语「RTI tracker」，Curify若不理解该具体教学工具形态，可能召回泛化教育海报,需理解该术语对应的具体物料结构/格式，而非泛化内容主题,「RTI tracker」这一具体教学工具形态的模板可能不足
q056,STEM challenge card printable,教育,文创,teacher-resource,template/poster,P0,medium,keep,recall,P0&keep主池代表样本：教育场景「STEM科学教育」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,STEM教学法专属术语「STEM challenge card」，与泛化「科学海报」不同，测试术语精确匹配,需理解该术语对应的具体教学活动结构，而非泛化科学主题图,「STEM challenge card」这一STEM教学工具类内容可能不足
q057,WIDA can-do descriptors chart,教育,,teacher-resource,template/chart,P0,medium,keep,recall,P0&keep主池代表样本：教育场景「ESL双语教育」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,ESL教学法专属术语「WIDA can-do descriptors」，测试对该细分教学法的术语覆盖,需理解该术语对应的具体教学工具/支架结构,「WIDA can-do descriptors」这一ESL教学法专属内容可能不足
q058,behavior clip chart classroom,教育,文创,teacher-resource,template/chart,P0,medium,keep,recall,P0&keep主池代表样本：教育场景「教师资源黑话」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,教师圈层专属术语「behavior clip chart」，Curify若不理解该具体教学工具形态，可能召回泛化教育海报,需理解该术语对应的具体物料结构/格式，而非泛化内容主题,「behavior clip chart」这一具体教学工具形态的模板可能不足
q059,charlotte mason copywork printable,教育,文创,teacher-resource,printable/template,P0,medium,keep,content_gap,P0&keep主池代表样本：教育场景「家庭教育homeschool」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,homeschool细分圈层黑话「charlotte mason copywork」，Curify可能将其与学校教育资源混淆或完全遗漏,需区分家庭教育场景 vs 学校课堂场景,「charlotte mason copywork」这一家庭教育圈层专属内容可能是空白
q060,coding unplugged activity cards,教育,文创,teacher-resource,template/poster,P0,medium,keep,recall,P0&keep主池代表样本：教育场景「STEM科学教育」子领域的代表query，confidence=medium（有合理的场景/行业推断支撑），入选以保证该子领域在gold set中有覆盖,STEM教学法专属术语「unplugged coding cards」，与泛化「科学海报」不同，测试术语精确匹配,需理解该术语对应的具体教学活动结构，而非泛化科学主题图,「unplugged coding cards」这一STEM教学工具类内容可能不足
