query_id,query,human_verdict,automated_relevance_label_reference,note
V106,tea package,PARTIAL?,FAIL,
V107,咖啡豆包装,PASS,PASS,
V108,coffee bean package,FAIL,FAIL,
V109,巧克力礼盒,FAIL,FAIL,
V110,chocolate box,PARTIAL,PARTIAL,
V111,护肤品包装,FAIL,PASS,
V112,skincare package,PARTIAL?,PARTIAL,
V113,化妆品包装,PARTIAL?,PARTIAL,
V114,cosmetic package,PARTIAL?,PARTIAL,
V115,酒标,FAIL,FAIL,
V116,wine label,PARTIAL?,PASS,
V117,零食包装,FAIL,PARTIAL,
V118,snack package,FAIL,PARTIAL,
V119,礼品盒,PARTIAL?,FAIL,
V120,gift box,PARTIAL,FAIL,
V121,购物袋,FAIL,PARTIAL,
V122,shopping bag,PARTIAL,FAIL,
V123,产品标签,FAIL,PARTIAL,
V124,product label,PARTIAL,PARTIAL,
V125,烘焙包装,FAIL,PARTIAL,
V126,bakery package,PARTIAL,PARTIAL,
V127,咖啡馆菜单,FAIL,PARTIAL,
V128,cafe menu,FAIL,PARTIAL,
V129,店招,FAIL,PARTIAL,
V130,shop sign,PASS？,PARTIAL,
V131,门店招牌,PARTIAL?,FAIL,
V132,storefront sign,FAIL,FAIL,
V133,产品吊牌,FAIL,FAIL,
V134,product tag,PARTIAL,PASS,
V135,价格标签,,FAIL,
V136,price tag,,FAIL,
V137,服装吊牌,FAIL,PARTIAL,
V138,clothing tag,FAIL,PARTIAL,
V139,首饰盒,FAIL,FAIL,
V140,jewelry box,FAIL,FAIL,
V141,蜡烛标签,FAIL,UNJUDGABLE,
V142,candle label,FAIL,FAIL,
V143,香皂包装,FAIL,FAIL,
V144,soap package,FAIL,FAIL,
V145,茶叶罐,FAIL,PARTIAL,
V146,tea box,FAIL,PARTIAL,
V147,咖啡杯,PARTIAL?,PASS,
V148,coffee cup,PASS?,PARTIAL,
V149,咖啡杯套,FAIL,PARTIAL,
V150,coffee cup sleeve,FAIL,FAIL,
V151,外卖餐盒,FAIL,PASS,
V152,takeout box,FAIL,FAIL,
V153,饮料瓶,FAIL,FAIL,
V154,drink bottle,FAIL,PARTIAL,
V155,水瓶标签,FAIL,PARTIAL,
V156,water bottle label,FAIL,PARTIAL,
V157,信封,PARTIAL?,PARTIAL,
V158,envelope,PASS,PARTIAL,
V159,手提袋,PARTIAL,FAIL,
V160,paper bag,FAIL,FAIL,
V161,蛋糕盒,FAIL,FAIL,
V162,cake box,FAIL,FAIL,
V163,月饼礼盒,FAIL,FAIL,
V164,mooncake gift box,FAIL,FAIL,
V165,横幅,FAIL,FAIL,
V166,banner,PARTIAL,UNJUDGABLE,
V167,传单,FAIL,FAIL,
V168,flyer,FAIL,FAIL,
V169,画册,FAIL,FAIL,
V170,catalog,FAIL,FAIL,
V171,促销横幅,PARTIAL,PARTIAL,
V172,sale banner,PARTIAL,PARTIAL,
V173,产品图,PARTIAL?,FAIL,
V174,product photo,PASS,PASS,
V175,促销活动,PARTIAL?,PASS,
V176,promotion,FAIL,FAIL,
V177,广告,PARTIAL,FAIL,
V178,advertisement,PARTIAL?,PARTIAL,
V179,社交媒体帖子,PARTIAL,FAIL,
V180,social media post,PARTIAL?,FAIL,
V181,产品展示,PASS,PASS,
V182,product display,PARTIAL,FAIL,
V183,餐厅传单,FAIL,PASS,
V184,restaurant flyer,PARTIAL,PARTIAL,
V185,电影海报,PASS,PASS,
V186,movie poster,PASS,PASS,
V187,产品横幅,FAIL,FAIL,
V188,product banner,FAIL,FAIL,
V189,促销海报,PASS,PASS,
V190,sale poster,PARTIAL,PASS,
V191,折扣传单,FAIL,FAIL,
V192,discount flyer,FAIL,FAIL,
V193,电商横幅,FAIL,FAIL,
V194,ecommerce banner,FAIL,FAIL,
V195,产品画册,FAIL,FAIL,
V196,product catalog,PARTIAL,PARTIAL,
V197,活动传单,FAIL,FAIL,
V198,event flyer,FAIL,FAIL,
V199,开业横幅,FAIL,FAIL,
V200,grand opening banner,FAIL,FAIL,
V201,节日促销横幅,PARTIAL?,PARTIAL,
V202,holiday sale banner,PARTIAL?,PARTIAL,
V203,新品横幅,FAIL,FAIL,
V204,new arrival banner,FAIL,FAIL,
V205,限时促销海报,PASS?,PARTIAL,
V206,flash sale poster,PASS?,PARTIAL,
V207,清仓促销横幅,FAIL,FAIL,
V208,clearance sale banner,PARTIAL,PARTIAL,
V209,产品详情图,PARTIAL,FAIL,
V210,product listing image,PARTIAL,PARTIAL,
V211,网店横幅,FAIL,FAIL,
V212,online store banner,FAIL,FAIL,
V213,社交媒体广告,FAIL,FAIL,
V214,social media ad,FAIL,FAIL,
V215,种草帖,FAIL,FAIL,
V216,influencer post,FAIL,FAIL,
V217,开箱照,FAIL,UNJUDGABLE,
V218,unboxing photo,FAIL,FAIL,
V219,前后对比图,PASS,UNJUDGABLE,
V220,before after comparison,PASS,PASS,
V221,优惠券,,FAIL,
V222,discount coupon,,FAIL,
V223,会员卡,,FAIL,
V224,membership card,FAIL,PARTIAL,
V225,积分卡,FAIL,PARTIAL,
V226,loyalty card,FAIL,FAIL,
V227,礼品卡,FAIL,FAIL,
V228,gift card,FAIL,FAIL,
V229,门店横幅,FAIL,FAIL,
V230,storefront banner,FAIL,FAIL,
V231,橱窗展示,FAIL,PARTIAL,
V232,window display,FAIL,FAIL,
V233,展会展架,FAIL,FAIL,
V234,trade show banner,FAIL,FAIL,
V235,展览传单,PARTIAL,FAIL,
V236,exhibition flyer,PARTIAL,FAIL,
V237,新品发布海报,PARTIAL,PARTIAL,
V238,product launch poster,PARTIAL,PARTIAL,
V239,季节促销横幅,PARTIAL,PARTIAL,
V240,seasonal sale banner,FAIL,PARTIAL,
V241,黑五促销横幅,FAIL,FAIL,
V242,black friday banner,FAIL,FAIL,
V243,双十一促销海报,PARTIAL,PARTIAL,
V244,singles day sale poster,FAIL,FAIL,
V245,直播预告横幅,FAIL,UNJUDGABLE,
V246,livestream promo banner,FAIL,FAIL,
V247,识字卡,PARTIAL,FAIL,
V248,flashcard,PASS,FAIL,
V249,练习册,FAIL,FAIL,
V250,worksheet,PARTIAL?,FAIL,
V251,字母卡,PASS,PASS,
V252,alphabet card,PARTIAL,PARTIAL,
V253,地图,PASS,FAIL,
V254,map,PASS,FAIL,
V255,图解,PASS,PARTIAL,
V256,diagram,PASS,FAIL,
V257,日历,PASS,PASS,
V258,calendar,PARTIAL,FAIL,
V259,证书,,FAIL,
V260,certificate,,FAIL,
V261,科学海报,PASS,PARTIAL,
V262,science poster,PASS,PARTIAL,
V263,课堂装饰海报,FAIL,UNJUDGABLE,
V264,classroom poster,PASS,PASS,
V265,教科书,FAIL,FAIL,
V266,textbook,PARTIAL?,FAIL,
V267,地球仪,FAIL,FAIL,
V268,globe,FAIL,FAIL,
V269,图表,PARTIAL,PARTIAL,
V270,chart,PARTIAL,FAIL,
V271,课程表,PARTIAL,FAIL,
V272,timetable,PARTIAL,PASS,
V273,数字表,,FAIL,
V274,number chart,FAIL,FAIL,
V275,元素周期表,FAIL,FAIL,
V276,periodic table,PARTIAL,FAIL,
V277,世界地图,PASS,PARTIAL,
V278,world map,PARTIAL,PARTIAL,
V279,拼读卡,PARTIAL,PARTIAL,
V280,phonics card,PASS,PARTIAL,
V281,试卷,FAIL,FAIL,
V282,exam paper,FAIL,FAIL,
V283,成绩单,FAIL,FAIL,
V284,report card,FAIL,FAIL,
V285,笔袋,FAIL,FAIL,
V286,pencil case,FAIL,FAIL,
V287,黑板,PARTIAL,PARTIAL,
V288,chalkboard,FAIL,FAIL,
V289,白板,FAIL,FAIL,
V290,whiteboard,,FAIL,
V291,显微镜,FAIL,FAIL,
V292,microscope,,FAIL,
V293,书签,FAIL,FAIL,
V294,bookmark,FAIL,FAIL,
V295,算盘,FAIL,FAIL,
V296,abacus,,FAIL,
V297,练习本,FAIL,PARTIAL,
V298,workbook,FAIL,FAIL,
V299,单词卡,PARTIAL,FAIL,
V300,vocabulary card,PARTIAL,FAIL,
V301,拼写卡,PARTIAL,FAIL,
V302,spelling card,PASS,FAIL,
V303,数学练习册,FAIL,FAIL,
V304,math worksheet,FAIL,FAIL,
V305,阅读练习册,PARTIAL,PARTIAL,
V306,reading worksheet,FAIL,FAIL,
V307,科学图解,PASS,PASS,
V308,science diagram,PARTIAL,FAIL,
V309,人体图解,PARTIAL,PARTIAL,
V310,anatomy chart,FAIL,FAIL,
V311,动物识字卡,PARTIAL,PARTIAL,
V312,animal flashcard,PARTIAL,FAIL,
V313,字母海报,FAIL,FAIL,
V314,alphabet poster,PARTIAL,PARTIAL,
V315,荣誉证书,FAIL,FAIL,
V316,achievement certificate,,FAIL,
V317,毕业证,FAIL,FAIL,
V318,diploma,FAIL,FAIL,
V319,校历,FAIL,FAIL,
V320,school calendar,PARTIAL,PARTIAL,
V321,教室装饰,FAIL,FAIL,
V322,classroom decoration,FAIL,FAIL,
V323,学习图表,PARTIAL,FAIL,
V324,learning chart,PARTIAL,PASS,
V325,贴纸奖励表,FAIL,PASS,
V326,reward chart,FAIL,FAIL,
