query_id,query,run_variant,ok,http_status,total_results,inspiration_count,matched_template_count,gallery_prompt_count,zero_result,low_result,rewrite_triggered,relevance_label,relevance_score,primary_failure_reason,semantic_drift,original_intent_preserved,judgeable_count,relevant_count,partial_count,irrelevant_count,top5_titles
V017,收藏品,production_baseline_2026-07-21,true,200,18,16,2,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""michael phelps swimming"",""novak djokovic tennis"",""stephen curry basketball en"",""stephen curry basketball es"",""usain bolt sprint""]"
V018,collectible,production_baseline_2026-07-21,true,200,93,80,13,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""dragon's blood"",""notoginseng"",""angelica"",""astragalus"",""ginseng""]"
V019,盲盒,production_baseline_2026-07-21,true,200,43,34,9,0,false,false,true,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,1,4,"[""van gogh mystery box"",""lifting box"",""brunch"",""coffee pasta"",""korean""]"
V020,blind box,production_baseline_2026-07-21,true,200,43,34,9,0,false,false,true,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,1,4,"[""van gogh mystery box"",""brunch"",""coffee pasta"",""korean"",""thai""]"
V021,动作人偶,production_baseline_2026-07-21,true,200,186,80,106,0,false,false,true,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""bruce lee"",""steve jobs"",""freud"",""mozart"",""picasso""]"
V022,action figure,production_baseline_2026-07-21,true,200,7,5,2,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,1,4,"[""body movement verbs set1"",""body movement verbs set2"",""body movement verbs set3"",""body movement verbs set4"",""bruce lee""]"
V023,泰迪熊,production_baseline_2026-07-21,true,200,31,20,11,0,false,false,true,PARTIAL,30,,MINOR,PARTIALLY,5,0,3,2,"[""bear"",""teddy"",""poodle teddy"",""problem solvers 01"",""problem solvers 03""]"
V024,teddy bear,production_baseline_2026-07-21,true,200,349,80,269,0,false,false,true,PARTIAL,30,,MINOR,PARTIALLY,5,0,3,2,"[""bear"",""teddy"",""poodle teddy"",""labrador"",""amusement park 1""]"
V025,扭蛋,production_baseline_2026-07-21,true,200,0,0,0,0,true,false,true,FAIL,0,ZERO_RESULT,NONE,NO,0,,,,[]
V026,capsule toy,production_baseline_2026-07-21,true,200,2,1,1,0,false,true,true,FAIL,0,HIGH_IRRELEVANT_RATE,NONE,NO,1,0,0,1,"[""woody buzz toy story""]"
V027,卡牌,production_baseline_2026-07-21,true,200,375,80,295,0,false,false,true,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,1,4,"[""istp cool wild rose female"",""Gambit"",""crayon shinchan shinnosuke nohara"",""siberian tiger"",""beijing""]"
V028,trading card,production_baseline_2026-07-21,true,200,34,32,2,0,false,false,false,PARTIAL,42,,MINOR,PARTIALLY,5,0,5,0,"[""kevendurant"",""kobebryant"",""lebronjames"",""stephencurry"",""alleniverson""]"
V029,模型,production_baseline_2026-07-21,true,200,57,50,7,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""beijing"",""new york"",""paris"",""shanghai"",""tokyo""]"
V030,model kit,production_baseline_2026-07-21,true,200,11,6,5,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,1,4,"[""nvidia strategy 03 more for more"",""Lyon"",""Japan fan look — Adidas cap + Samurai Blue crop top + black shorts"",""Japan fan look — headband + scarf + casual denim + knee socks"",""AI/ML Job Orchestration""]"
V031,雕像,production_baseline_2026-07-21,true,200,6,5,1,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""ghibli vs mappa"",""kyotoani vs ufotable 1"",""kyotoani vs ufotable 2"",""pixar vs dreamworks"",""wit vs ufotable""]"
V032,statue,production_baseline_2026-07-21,true,200,104,80,24,0,false,false,true,FAIL,22,HIGH_IRRELEVANT_RATE,MINOR,PARTIALLY,5,1,0,4,"[""statue of liberty"",""famous bridges"",""great architects"",""iconic writers"",""legendary composers""]"
V033,帆布袋,production_baseline_2026-07-21,true,200,37,30,7,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""van gogh mfa boston"",""van gogh mystery box"",""brunch"",""coffee pasta"",""korean""]"
V034,tote bag,production_baseline_2026-07-21,true,200,47,39,8,0,false,false,false,FAIL,0,SEVERE_DRIFT_INTENT_LOST,SEVERE,NO,5,0,3,2,"[""nicoco healing girl"",""tangle tunes street figure"",""BREW & CO Coffee Shop brand identity moodboard"",""Golden Crust Bakery brand identity moodboard"",""GreenBasket Grocery brand identity moodboard""]"
V035,手机壳,production_baseline_2026-07-21,true,200,11,10,1,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""blessing dragon"",""bronze rabbit qingqing"",""deer travel journal"",""ink fox scholar"",""moyu zhong""]"
V036,phone case,production_baseline_2026-07-21,true,200,16,14,2,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""blessing dragon"",""bronze rabbit qingqing"",""deer travel journal"",""ink fox scholar"",""moyu zhong""]"
V037,徽章,production_baseline_2026-07-21,true,200,37,32,5,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""galileo galilei vs nicolaus copernicus"",""genghis khan vs attila the hun"",""napoleon bonaparte vs alexander the great"",""nikola tesla vs thomas edison"",""queen cleopatra vs queen himiko""]"
V038,badge,production_baseline_2026-07-21,true,200,34,29,5,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""galileo galilei vs nicolaus copernicus"",""genghis khan vs attila the hun"",""napoleon bonaparte vs alexander the great"",""nikola tesla vs thomas edison"",""queen cleopatra vs queen himiko""]"
V039,胸针,production_baseline_2026-07-21,true,200,100,80,20,0,false,false,true,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,1,4,"[""diamond jewelry"",""emerald jewelry"",""earrings for face shape"",""Jewelry Look"",""qing dynasty buzi""]"
V040,enamel pin,production_baseline_2026-07-21,true,200,187,80,107,0,false,false,true,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""sun wukong"",""zhu bajie"",""crayon shinchan shinnosuke nohara"",""aging society impact"",""declining fertility rate""]"
V041,冰箱贴,production_baseline_2026-07-21,true,200,124,80,44,0,false,false,true,FAIL,0,SEVERE_DRIFT_INTENT_LOST,SEVERE,NO,5,0,2,3,"[""nanjing landmarks"",""yangzhou landmarks"",""morning routine"",""kitchen"",""kitchen""]"
V042,magnet,production_baseline_2026-07-21,true,200,3,2,1,0,false,true,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,2,0,0,2,"[""nanjing landmarks"",""yangzhou landmarks""]"
V043,挂绳,production_baseline_2026-07-21,true,200,11,10,1,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""blessing dragon"",""bronze rabbit qingqing"",""deer travel journal"",""ink fox scholar"",""moyu zhong""]"
V044,lanyard,production_baseline_2026-07-21,true,200,11,10,1,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""blessing dragon"",""bronze rabbit qingqing"",""deer travel journal"",""ink fox scholar"",""moyu zhong""]"
V045,迷你手办,production_baseline_2026-07-21,true,200,19,17,2,0,false,false,true,PARTIAL,42,,MINOR,PARTIALLY,5,0,5,0,"[""new york"",""Oaxaca"",""London"",""san francisco"",""wuhan""]"
V046,mini figure,production_baseline_2026-07-21,true,200,93,80,13,0,false,false,true,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""byzantine tang"",""ming renaissance"",""qin alexander"",""roman han"",""tang arab""]"
V047,潮流公仔,production_baseline_2026-07-21,true,200,2,1,1,0,false,true,true,PARTIAL,42,,MINOR,PARTIALLY,1,0,1,0,"[""Tang horse figurine as ride-share driver""]"
V048,vinyl toy,production_baseline_2026-07-21,true,200,94,80,14,0,false,false,true,FAIL,17,HIGH_IRRELEVANT_RATE,MINOR,PARTIALLY,5,1,0,4,"[""bruce lee"",""woody buzz toy story"",""byzantine tang"",""ming renaissance"",""qin alexander""]"
V049,潮流手办,production_baseline_2026-07-21,true,200,2,1,1,0,false,true,true,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,1,0,0,1,"[""Tang horse figurine as ride-share driver""]"
V050,pop figure,production_baseline_2026-07-21,true,200,7,5,2,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""Andrew Tate (Top G) viral meme sticker pack & merch collection"",""Cristiano Ronaldo (CR7) viral meme sticker pack & merch collection"",""Elon Musk (Tech Meme) viral meme sticker pack & merch collection"",""Erling Haaland (Football Star) viral meme sticker pack & merch collection"",""michael jackson""]"
V051,惊喜盒子,production_baseline_2026-07-21,true,200,181,80,101,0,false,false,true,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""brunch"",""coffee pasta"",""korean"",""thai"",""western1""]"
V052,mystery box,production_baseline_2026-07-21,true,200,2,1,1,0,false,true,false,PARTIAL,42,,MINOR,PARTIALLY,1,0,1,0,"[""van gogh mystery box""]"
V053,挂件,production_baseline_2026-07-21,true,200,5,3,2,0,false,false,true,PASS,100,,NONE,YES,3,3,0,0,"[""pendant"",""angel fountain cherub aquamarine pendant"",""lotus pond mother of pearl aqua gem pendant""]"
V054,charm,production_baseline_2026-07-21,true,200,6,5,1,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""friends"",""howls moving castle"",""neighbor totoro"",""ponyo"",""shin chan""]"
V055,马克杯,production_baseline_2026-07-21,true,200,40,33,7,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""blessing dragon"",""bronze rabbit qingqing"",""deer travel journal"",""ink fox scholar"",""moyu zhong""]"
V056,collectible mug,production_baseline_2026-07-21,true,200,37,30,7,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""brunch"",""coffee pasta"",""korean"",""thai"",""western1""]"
V057,抱枕,production_baseline_2026-07-21,true,200,14,12,2,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""blessing dragon"",""bronze rabbit qingqing"",""deer travel journal"",""ink fox scholar"",""moyu zhong""]"
V058,plush pillow,production_baseline_2026-07-21,true,200,249,80,169,0,false,false,true,FAIL,0,SEVERE_DRIFT_INTENT_LOST,SEVERE,NO,5,0,3,2,"[""furniture"",""bohemian wabi sabi bedroom"",""morning routine"",""wellness routine"",""Aromatherapy Diffuser""]"
V059,拼图,production_baseline_2026-07-21,true,200,3,2,1,0,false,true,true,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,2,0,0,2,"[""van gogh mfa boston"",""van gogh mystery box""]"
V060,puzzle,production_baseline_2026-07-21,true,200,0,0,0,0,true,false,false,FAIL,0,ZERO_RESULT,NONE,NO,0,,,,[]
V061,积木,production_baseline_2026-07-21,true,200,13,6,7,0,false,false,true,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,1,4,"[""empire state building"",""cash buffer and compound magic 5"",""blood building foods"",""Meta lays off 8,000 workers and pivots with $115M America's Workforce Academy — crowd of office workers walking out of glass-and-stone Meta headquarters carrying cardboard 'PERSONAL ITEMS' boxes, prominent 'meta' wordmark + infinity-loop logo on the building, Meta blue #1877F2 as the single accent color on the logo signage only"",""woody buzz toy story""]"
V062,building blocks,production_baseline_2026-07-21,true,200,7,6,1,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""beach starfish anime"",""deep ocean whale shark"",""flamingo ocean sunset"",""gradient betta fish"",""summer pink resort""]"
V063,公仔盒,production_baseline_2026-07-21,true,200,49,37,12,0,false,false,true,PARTIAL,10,,MODERATE,PARTIALLY,5,0,2,3,"[""van gogh mystery box"",""Kubernetes Deployment Stack"",""lifting box"",""brunch"",""coffee pasta""]"
V064,sticker pack,production_baseline_2026-07-21,true,200,24,19,5,0,false,false,false,PARTIAL,24,,MINOR,PARTIALLY,5,1,2,2,"[""graduation alpaca"",""basketball tennis badminton"",""tennis volleyball soccer baseball"",""curi ai robot poses views icons"",""Bronze worker mythical beast""]"
V065,文创手办,production_baseline_2026-07-21,true,200,95,80,15,0,false,false,true,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""Portuguese Cuisine"",""brunch"",""coffee pasta"",""korean"",""thai""]"
V066,cultural relic figure,production_baseline_2026-07-21,true,200,41,31,10,0,false,false,true,PARTIAL,37,,MINOR,PARTIALLY,5,0,4,1,"[""simu wu ding"",""yuewang goujian sword"",""queen cleopatra vs queen himiko"",""han dynasty"",""space exploration""]"
V067,博物馆文创,production_baseline_2026-07-21,true,200,27,24,3,0,false,false,false,PARTIAL,42,,MINOR,PARTIALLY,5,0,5,0,"[""dunhuang mogao grottoes"",""four sheep square zun"",""simu wu ding"",""terracotta warriors"",""yuewang goujian sword""]"
V068,museum souvenir,production_baseline_2026-07-21,true,200,77,51,26,0,false,false,true,PARTIAL,37,,MINOR,PARTIALLY,5,0,4,1,"[""nanjing landmarks"",""yangzhou landmarks"",""van gogh mfa boston"",""van gogh mystery box"",""brunch""]"
V069,国潮公仔,production_baseline_2026-07-21,true,200,17,2,15,0,false,false,true,PARTIAL,19,,MINOR,PARTIALLY,2,0,1,1,"[""Tang horse figurine as ride-share driver"",""van gogh mystery box""]"
V070,IP figure,production_baseline_2026-07-21,true,200,16,11,5,0,false,false,false,PARTIAL,42,,MINOR,PARTIALLY,5,0,5,0,"[""chinese figure fengshenbang"",""chinese figure mudan ting"",""chinese figure water margin"",""eight immortals"",""twelve beauties jinling 2""]"
V071,动漫周边,production_baseline_2026-07-21,true,200,16,13,3,0,false,false,false,PASS,100,,NONE,YES,5,5,0,0,"[""friends"",""howls moving castle"",""neighbor totoro"",""ponyo"",""shin chan""]"
V072,anime merch,production_baseline_2026-07-21,true,200,19,14,5,0,false,false,false,PASS,62,,MINOR,PARTIALLY,5,2,3,0,"[""busan boogi duck"",""captain tsubasa"",""looney tunes"",""slam dunk"",""the simpsons""]"
V073,明信片套装,production_baseline_2026-07-21,true,200,42,28,14,0,false,false,true,FAIL,0,SEVERE_DRIFT_INTENT_LOST,SEVERE,NO,5,0,2,3,"[""curi ai robot full merch collection"",""ancient bronze beast full merch collection"",""ancient bronze beast merchandise collection"",""Cat-themed Red Envelopes"",""Dragon Year Red Envelopes""]"
V074,postcard set,production_baseline_2026-07-21,true,200,74,60,14,0,false,false,true,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""curi ai robot full merch collection"",""ancient bronze beast full merch collection"",""ancient bronze beast merchandise collection"",""cute cat fish"",""blessing dragon""]"
V075,艺术微喷,production_baseline_2026-07-21,true,200,283,80,203,0,false,false,true,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""Brazil National Team"",""Argentina National Team"",""France National Team"",""Germany National Team"",""england""]"
V076,art print,production_baseline_2026-07-21,true,200,111,80,31,0,false,false,false,PASS,62,,MINOR,PARTIALLY,5,2,3,0,"[""colosseum"",""eiffel tower"",""great wall"",""petra"",""pyramids of giza""]"
V077,摇头公仔,production_baseline_2026-07-21,true,200,121,80,41,0,false,false,true,PARTIAL,20,,MINOR,PARTIALLY,5,0,2,3,"[""Tang horse figurine as ride-share driver"",""Tang horse figurine ride-share driver"",""beijing"",""sanya"",""xian""]"
V078,bobblehead,production_baseline_2026-07-21,true,200,2,1,1,0,false,true,true,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,1,0,0,1,"[""Tang horse figurine as ride-share driver""]"
V079,场景模型,production_baseline_2026-07-21,true,200,91,80,11,0,false,false,true,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""child park"",""santa claus christmas"",""family road"",""family amusement"",""family hotel""]"
V080,diorama,production_baseline_2026-07-21,true,200,0,0,0,0,true,false,false,FAIL,0,ZERO_RESULT,NONE,NO,0,,,,[]
V081,角色卡通贴纸,production_baseline_2026-07-21,true,200,23,19,4,0,false,false,false,PASS,100,,NONE,YES,5,5,0,0,"[""adventurer max"",""artist luna"",""athlete zoe"",""child mia"",""teacher oliver""]"
V082,character sticker pack,production_baseline_2026-07-21,true,200,21,17,4,0,false,false,false,PASS,65,,MINOR,PARTIALLY,5,3,2,0,"[""graduation alpaca"",""curi ai robot poses views icons"",""Bronze worker mythical beast"",""Tang horse figurine ride-share driver"",""Office plant succulent buddy""]"
V083,标志,production_baseline_2026-07-21,true,200,115,80,35,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""beijing"",""nanjing"",""wuhan"",""empire state building"",""giant wild goose pagoda""]"
V084,logo,production_baseline_2026-07-21,true,200,61,53,8,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""ghibli vs mappa"",""kyotoani vs ufotable 1"",""kyotoani vs ufotable 2"",""pixar vs dreamworks"",""wit vs ufotable""]"
V085,包装,production_baseline_2026-07-21,true,200,90,80,10,0,false,false,false,UNJUDGABLE,,NO_JUDGEABLE_RESULTS,SEVERE,NO,0,0,0,0,"[""hanxin baiqi.jpg 1"",""hanxin baiqi.jpg 2"",""sunwu wuqi"",""kobebryant stephencurry"",""michaeljordan lebronjames""]"
V086,package,production_baseline_2026-07-21,true,200,5,3,2,0,false,false,false,PARTIAL,42,,MINOR,PARTIALLY,3,0,3,0,"[""ISTJ vs ENFP package"",""ISTJ vs ENFP package"",""spring festival zh ISTJ vs ENFP package""]"
V087,标签,production_baseline_2026-07-21,true,200,118,80,38,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""dragon's blood"",""notoginseng"",""angelica"",""astragalus"",""ginseng""]"
V088,label,production_baseline_2026-07-21,true,200,99,80,19,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""bangkok"",""beijing"",""chengdu"",""seoul"",""shanghai""]"
V089,瓶子,production_baseline_2026-07-21,true,200,13,12,1,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""french"",""japanese"",""korean"",""mexican"",""russian""]"
V090,bottle,production_baseline_2026-07-21,true,200,2,1,1,0,false,true,true,PASS,100,,NONE,YES,1,1,0,0,"[""smart hydration water bottle""]"
V091,菜单,production_baseline_2026-07-21,true,200,57,48,9,0,false,false,false,PARTIAL,37,,MINOR,PARTIALLY,5,0,4,1,"[""buddha jumps over the wall"",""four joy meatballs"",""kung pao chicken"",""sweet and sour ribs"",""Pastel de Nata""]"
V092,menu,production_baseline_2026-07-21,true,200,32,28,4,0,false,false,false,PARTIAL,42,,MINOR,PARTIALLY,5,0,5,0,"[""buddha jumps over the wall"",""four joy meatballs"",""kung pao chicken"",""sweet and sour ribs"",""Pastel de Nata""]"
V093,名片,production_baseline_2026-07-21,true,200,8,6,2,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""adventurer max"",""artist luna"",""athlete zoe"",""child mia"",""teacher oliver""]"
V094,business card,production_baseline_2026-07-21,true,200,95,80,15,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""microsoft ai dilemma 01 cover"",""microsoft ai dilemma 02 performance vs stock"",""microsoft ai dilemma 03 deadend strategy"",""microsoft ai dilemma 04 deadend openai"",""microsoft ai dilemma 05 deadend claude""]"
V095,产品盒,production_baseline_2026-07-21,true,200,121,80,41,0,false,false,true,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""eyemask"",""musical instrument"",""pendant"",""ring"",""scarf""]"
V096,product box,production_baseline_2026-07-21,true,200,34,28,6,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""blessing dragon"",""bronze rabbit qingqing"",""deer travel journal"",""ink fox scholar"",""moyu zhong""]"
V097,咖啡包装,production_baseline_2026-07-21,true,200,107,80,27,0,false,false,true,PASS,62,,MINOR,PARTIALLY,5,2,3,0,"[""espresso coffee beans"",""coffee brewing"",""riseup coffee"",""BREW & CO Coffee Shop brand identity moodboard"",""arabica coffee beans""]"
V098,coffee package,production_baseline_2026-07-21,true,200,187,80,107,0,false,false,true,PARTIAL,37,,MINOR,PARTIALLY,5,1,2,2,"[""coffee brewing"",""espresso coffee beans"",""riseup coffee"",""BREW & CO Coffee Shop brand identity moodboard"",""arabica coffee beans""]"
V099,餐厅菜单,production_baseline_2026-07-21,true,200,45,38,7,0,false,false,false,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""beef cuts"",""chicken cuts"",""coffee bean anatomy"",""fish cuts"",""lamb cuts""]"
V100,restaurant menu,production_baseline_2026-07-21,true,200,28,25,3,0,false,false,false,PARTIAL,42,,MINOR,PARTIALLY,5,0,5,0,"[""buddha jumps over the wall"",""four joy meatballs"",""kung pao chicken"",""sweet and sour ribs"",""Pastel de Nata""]"
V101,香水瓶,production_baseline_2026-07-21,true,200,4,2,2,0,false,true,true,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,2,0,0,2,"[""smart hydration water bottle"",""Bedroom""]"
V102,perfume bottle,production_baseline_2026-07-21,true,200,2,1,1,0,false,true,true,FAIL,0,HIGH_IRRELEVANT_RATE,NONE,NO,1,0,0,1,"[""smart hydration water bottle""]"
V103,香水盒,production_baseline_2026-07-21,true,200,94,80,14,0,false,false,true,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""brunch"",""coffee pasta"",""korean"",""thai"",""western1""]"
V104,perfume box,production_baseline_2026-07-21,true,200,53,39,14,0,false,false,true,FAIL,0,HIGH_IRRELEVANT_RATE,SEVERE,NO,5,0,0,5,"[""Bedroom"",""lifting box"",""brunch"",""coffee pasta"",""korean""]"
V105,茶叶包装,production_baseline_2026-07-21,true,200,108,80,28,0,false,false,true,PARTIAL,22,,MINOR,PARTIALLY,5,1,1,3,"[""matcha powder"",""panda tea master"",""bubble tea shop"",""tea basics"",""cozy winter tea""]"
V106,tea package,production_baseline_2026-07-21,true,200,188,80,108,0,false,false,true,FAIL,7,HIGH_IRRELEVANT_RATE,MINOR,PARTIALLY,5,0,1,4,"[""matcha powder"",""panda tea master"",""bubble tea shop"",""cozy winter tea"",""japanese tea ceremony""]"
V107,咖啡豆包装,production_baseline_2026-07-21,true,200,113,80,33,0,false,false,true,PASS,62,,MINOR,PARTIALLY,5,2,2,1,"[""espresso coffee beans"",""arabica coffee beans"",""coffee brewing"",""coffee maker"",""riseup coffee""]"
V108,coffee bean package,production_baseline_2026-07-21,true,200,20,10,10,0,false,false,true,PARTIAL,27,,MINOR,PARTIALLY,5,1,1,3,"[""espresso coffee beans"",""riseup coffee"",""BREW & CO Coffee Shop brand identity moodboard"",""coffee brewing"",""arabica coffee beans""]"
