query_id,query,language,scenario,category,reason
V117,零食包装,zh,brand_business,package,具体品牌资产实物，视觉目标清晰
V118,snack package,en,brand_business,package,具体品牌资产实物，视觉目标清晰
V119,礼品盒,zh,brand_business,product_box,任务在歧义词说明中明确列出的正面示例（gift box）
V120,gift box,en,brand_business,product_box,任务在歧义词说明中明确列出的正面示例（gift box）
V121,购物袋,zh,brand_business,merch_item,具体品牌周边实物，视觉目标清晰
V122,shopping bag,en,brand_business,merch_item,具体品牌周边实物，视觉目标清晰
V123,产品标签,zh,brand_business,label,具体品牌资产实物，视觉目标清晰
V124,product label,en,brand_business,label,具体品牌资产实物，视觉目标清晰
V125,烘焙包装,zh,brand_business,package,具体品牌资产实物，视觉目标清晰
V126,bakery package,en,brand_business,package,具体品牌资产实物，视觉目标清晰
V127,咖啡馆菜单,zh,brand_business,menu,具体品牌资产实物，视觉目标清晰
V128,cafe menu,en,brand_business,menu,具体品牌资产实物，视觉目标清晰
V129,店招,zh,brand_business,signage,具体品牌资产实物，视觉目标清晰
V130,shop sign,en,brand_business,signage,具体品牌资产实物，视觉目标清晰
V131,门店招牌,zh,brand_business,signage,具体品牌资产实物，视觉目标清晰
V132,storefront sign,en,brand_business,signage,具体品牌资产实物，视觉目标清晰
V133,产品吊牌,zh,brand_business,label,具体品牌资产实物，视觉目标清晰
V134,product tag,en,brand_business,label,具体品牌资产实物，视觉目标清晰
V135,价格标签,zh,brand_business,label,具体品牌资产实物，视觉目标清晰
V136,price tag,en,brand_business,label,具体品牌资产实物，视觉目标清晰
V137,服装吊牌,zh,brand_business,label,具体品牌资产实物，视觉目标清晰
V138,clothing tag,en,brand_business,label,具体品牌资产实物，视觉目标清晰
V139,首饰盒,zh,brand_business,product_box,具体品牌资产实物，视觉目标清晰
V140,jewelry box,en,brand_business,product_box,具体品牌资产实物，视觉目标清晰
V141,蜡烛标签,zh,brand_business,label,具体品牌资产实物，视觉目标清晰
V142,candle label,en,brand_business,label,具体品牌资产实物，视觉目标清晰
V143,香皂包装,zh,brand_business,package,具体品牌资产实物，视觉目标清晰
V144,soap package,en,brand_business,package,具体品牌资产实物，视觉目标清晰
V145,茶叶罐,zh,brand_business,product_box,具体品牌资产实物，视觉目标清晰
V146,tea box,en,brand_business,product_box,具体品牌资产实物，视觉目标清晰
V147,咖啡杯,zh,brand_business,cup,任务在核心原则中明确列出的正面示例（coffee cup）
V148,coffee cup,en,brand_business,cup,任务在核心原则中明确列出的正面示例（coffee cup）
V149,咖啡杯套,zh,brand_business,cup,具体品牌周边实物，视觉目标清晰
V150,coffee cup sleeve,en,brand_business,cup,具体品牌周边实物，视觉目标清晰
V151,外卖餐盒,zh,brand_business,product_box,具体品牌资产实物，视觉目标清晰
V152,takeout box,en,brand_business,product_box,具体品牌资产实物，视觉目标清晰
V153,饮料瓶,zh,brand_business,bottle,具体品牌资产实物，视觉目标清晰
V154,drink bottle,en,brand_business,bottle,具体品牌资产实物，视觉目标清晰
V155,水瓶标签,zh,brand_business,label,具体品牌资产实物，视觉目标清晰
V156,water bottle label,en,brand_business,label,具体品牌资产实物，视觉目标清晰
V157,信封,zh,brand_business,stationery,具体品牌物料实物，视觉目标清晰
V158,envelope,en,brand_business,stationery,具体品牌物料实物，视觉目标清晰
V159,手提袋,zh,brand_business,merch_item,具体品牌周边实物，视觉目标清晰
V160,paper bag,en,brand_business,merch_item,具体品牌周边实物，视觉目标清晰
V161,蛋糕盒,zh,brand_business,product_box,具体品牌资产实物，视觉目标清晰
V162,cake box,en,brand_business,product_box,具体品牌资产实物，视觉目标清晰
V163,月饼礼盒,zh,brand_business,product_box,具体品牌资产实物，视觉目标清晰
V164,mooncake gift box,en,brand_business,product_box,具体品牌资产实物，视觉目标清晰
V165,横幅,zh,marketing_ecommerce,banner,任务 Marketing/Ecommerce 场景正面示例词
V166,banner,en,marketing_ecommerce,banner,任务 Marketing/Ecommerce 场景正面示例词
V167,传单,zh,marketing_ecommerce,flyer,任务 Marketing/Ecommerce 场景正面示例词
V168,flyer,en,marketing_ecommerce,flyer,任务 Marketing/Ecommerce 场景正面示例词
V169,画册,zh,marketing_ecommerce,catalog,任务 Marketing/Ecommerce 场景正面示例词
V170,catalog,en,marketing_ecommerce,catalog,任务 Marketing/Ecommerce 场景正面示例词
V171,促销横幅,zh,marketing_ecommerce,banner,任务 Marketing/Ecommerce 场景正面示例词
V172,sale banner,en,marketing_ecommerce,banner,任务 Marketing/Ecommerce 场景正面示例词
V173,产品图,zh,marketing_ecommerce,product_photo,任务 Marketing/Ecommerce 场景正面示例词
V174,product photo,en,marketing_ecommerce,product_photo,任务 Marketing/Ecommerce 场景正面示例词
V175,促销活动,zh,marketing_ecommerce,promotion,任务 Marketing/Ecommerce 场景正面示例词
V176,promotion,en,marketing_ecommerce,promotion,任务 Marketing/Ecommerce 场景正面示例词
V177,广告,zh,marketing_ecommerce,advertisement,任务 Marketing/Ecommerce 场景正面示例词
V178,advertisement,en,marketing_ecommerce,advertisement,任务 Marketing/Ecommerce 场景正面示例词
V179,社交媒体帖子,zh,marketing_ecommerce,social_post,任务 Marketing/Ecommerce 场景正面示例词
V180,social media post,en,marketing_ecommerce,social_post,任务 Marketing/Ecommerce 场景正面示例词
V181,产品展示,zh,marketing_ecommerce,product_display,任务 Marketing/Ecommerce 场景正面示例词
V182,product display,en,marketing_ecommerce,product_display,任务 Marketing/Ecommerce 场景正面示例词
V183,餐厅传单,zh,marketing_ecommerce,flyer,任务在核心原则中明确列出的正面示例（restaurant flyer）
V184,restaurant flyer,en,marketing_ecommerce,flyer,任务在核心原则中明确列出的正面示例（restaurant flyer）
V185,电影海报,zh,marketing_ecommerce,poster_specific,任务在核心原则中明确列出的正面示例（movie poster）
V186,movie poster,en,marketing_ecommerce,poster_specific,任务在核心原则中明确列出的正面示例（movie poster）
V187,产品横幅,zh,marketing_ecommerce,banner,任务在核心原则中明确列出的正面示例（product banner）
V188,product banner,en,marketing_ecommerce,banner,任务在核心原则中明确列出的正面示例（product banner）
V189,促销海报,zh,marketing_ecommerce,poster_specific,任务在核心原则中明确列出的正面示例（sale poster）
V190,sale poster,en,marketing_ecommerce,poster_specific,任务在核心原则中明确列出的正面示例（sale poster）
V191,折扣传单,zh,marketing_ecommerce,flyer,具体营销物料，视觉目标清晰
V192,discount flyer,en,marketing_ecommerce,flyer,具体营销物料，视觉目标清晰
V193,电商横幅,zh,marketing_ecommerce,banner,具体营销物料，视觉目标清晰
V194,ecommerce banner,en,marketing_ecommerce,banner,具体营销物料，视觉目标清晰
V195,产品画册,zh,marketing_ecommerce,catalog,具体营销物料，视觉目标清晰
V196,product catalog,en,marketing_ecommerce,catalog,具体营销物料，视觉目标清晰
V197,活动传单,zh,marketing_ecommerce,flyer,具体营销物料，视觉目标清晰
V198,event flyer,en,marketing_ecommerce,flyer,具体营销物料，视觉目标清晰
V199,开业横幅,zh,marketing_ecommerce,banner,具体营销物料，视觉目标清晰
V200,grand opening banner,en,marketing_ecommerce,banner,具体营销物料，视觉目标清晰
V201,节日促销横幅,zh,marketing_ecommerce,banner,具体营销物料，视觉目标清晰
V202,holiday sale banner,en,marketing_ecommerce,banner,具体营销物料，视觉目标清晰
V203,新品横幅,zh,marketing_ecommerce,banner,具体营销物料，视觉目标清晰
V204,new arrival banner,en,marketing_ecommerce,banner,具体营销物料，视觉目标清晰
V205,限时促销海报,zh,marketing_ecommerce,poster_specific,具体营销物料，视觉目标清晰
V206,flash sale poster,en,marketing_ecommerce,poster_specific,具体营销物料，视觉目标清晰
V207,清仓促销横幅,zh,marketing_ecommerce,banner,具体营销物料，视觉目标清晰
V208,clearance sale banner,en,marketing_ecommerce,banner,具体营销物料，视觉目标清晰
V209,产品详情图,zh,marketing_ecommerce,product_photo,具体电商物料，视觉目标清晰
V210,product listing image,en,marketing_ecommerce,product_photo,具体电商物料，视觉目标清晰
V211,网店横幅,zh,marketing_ecommerce,banner,具体电商物料，视觉目标清晰
V212,online store banner,en,marketing_ecommerce,banner,具体电商物料，视觉目标清晰
V213,社交媒体广告,zh,marketing_ecommerce,advertisement,具体营销物料，视觉目标清晰
V214,social media ad,en,marketing_ecommerce,advertisement,具体营销物料，视觉目标清晰
V215,种草帖,zh,marketing_ecommerce,social_post,具体营销内容，视觉目标清晰
V216,influencer post,en,marketing_ecommerce,social_post,具体营销内容，视觉目标清晰
V217,开箱照,zh,marketing_ecommerce,product_photo,具体电商内容，视觉目标清晰
V218,unboxing photo,en,marketing_ecommerce,product_photo,具体电商内容，视觉目标清晰
V219,前后对比图,zh,marketing_ecommerce,product_photo,具体营销内容，视觉目标清晰
V220,before after comparison,en,marketing_ecommerce,product_photo,具体营销内容，视觉目标清晰
V221,优惠券,zh,marketing_ecommerce,coupon,具体营销物料，视觉目标清晰
V222,discount coupon,en,marketing_ecommerce,coupon,具体营销物料，视觉目标清晰
V223,会员卡,zh,marketing_ecommerce,membership_card,具体营销物料，视觉目标清晰，有清晰上下文
V224,membership card,en,marketing_ecommerce,membership_card,具体营销物料，视觉目标清晰，有清晰上下文
V225,积分卡,zh,marketing_ecommerce,membership_card,具体营销物料，视觉目标清晰，有清晰上下文
V226,loyalty card,en,marketing_ecommerce,membership_card,具体营销物料，视觉目标清晰，有清晰上下文
V227,礼品卡,zh,marketing_ecommerce,membership_card,具体营销物料，视觉目标清晰，有清晰上下文
V228,gift card,en,marketing_ecommerce,membership_card,具体营销物料，视觉目标清晰，有清晰上下文
V229,门店横幅,zh,marketing_ecommerce,banner,具体营销物料，视觉目标清晰
V230,storefront banner,en,marketing_ecommerce,banner,具体营销物料，视觉目标清晰
V231,橱窗展示,zh,marketing_ecommerce,product_display,具体营销物料，视觉目标清晰
V232,window display,en,marketing_ecommerce,product_display,具体营销物料，视觉目标清晰
V233,展会展架,zh,marketing_ecommerce,banner,具体营销物料，视觉目标清晰
V234,trade show banner,en,marketing_ecommerce,banner,具体营销物料，视觉目标清晰
V235,展览传单,zh,marketing_ecommerce,flyer,具体营销物料，视觉目标清晰
V236,exhibition flyer,en,marketing_ecommerce,flyer,具体营销物料，视觉目标清晰
V237,新品发布海报,zh,marketing_ecommerce,poster_specific,具体营销物料，视觉目标清晰
V238,product launch poster,en,marketing_ecommerce,poster_specific,具体营销物料，视觉目标清晰
V239,季节促销横幅,zh,marketing_ecommerce,banner,具体营销物料，视觉目标清晰
V240,seasonal sale banner,en,marketing_ecommerce,banner,具体营销物料，视觉目标清晰
V241,黑五促销横幅,zh,marketing_ecommerce,banner,具体营销物料，视觉目标清晰
V242,black friday banner,en,marketing_ecommerce,banner,具体营销物料，视觉目标清晰
V243,双十一促销海报,zh,marketing_ecommerce,poster_specific,具体营销物料，视觉目标清晰
V244,singles day sale poster,en,marketing_ecommerce,poster_specific,具体营销物料，视觉目标清晰
V245,直播预告横幅,zh,marketing_ecommerce,banner,具体电商营销物料，视觉目标清晰
V246,livestream promo banner,en,marketing_ecommerce,banner,具体电商营销物料，视觉目标清晰
V247,识字卡,zh,education,flashcard,任务 Education 场景正面示例词
V248,flashcard,en,education,flashcard,任务 Education 场景正面示例词
V249,练习册,zh,education,worksheet,任务 Education 场景正面示例词
V250,worksheet,en,education,worksheet,任务 Education 场景正面示例词
V251,字母卡,zh,education,flashcard,任务 Education 场景正面示例词
V252,alphabet card,en,education,flashcard,任务 Education 场景正面示例词
V253,地图,zh,education,map,任务 Education 场景正面示例词
V254,map,en,education,map,任务 Education 场景正面示例词
V255,图解,zh,education,diagram,任务 Education 场景正面示例词
V256,diagram,en,education,diagram,任务 Education 场景正面示例词
V257,日历,zh,education,calendar,任务 Education 场景正面示例词
V258,calendar,en,education,calendar,任务 Education 场景正面示例词
V259,证书,zh,education,certificate,任务 Education 场景正面示例词
V260,certificate,en,education,certificate,任务 Education 场景正面示例词
V261,科学海报,zh,education,poster_specific,任务 Education 场景正面示例词
V262,science poster,en,education,poster_specific,任务 Education 场景正面示例词
V263,课堂装饰海报,zh,education,poster_specific,任务提及的 classroom material，替换为更具体的 classroom poster 组合表达
V264,classroom poster,en,education,poster_specific,任务提及的 classroom material，替换为更具体的 classroom poster 组合表达
V265,教科书,zh,education,textbook,具体学习物料实物，视觉目标清晰
V266,textbook,en,education,textbook,具体学习物料实物，视觉目标清晰
V267,地球仪,zh,education,globe,具体学习物料实物，视觉目标清晰
V268,globe,en,education,globe,具体学习物料实物，视觉目标清晰
V269,图表,zh,education,chart,具体学习物料实物，视觉目标清晰
V270,chart,en,education,chart,具体学习物料实物，视觉目标清晰
V271,课程表,zh,education,chart,具体学习物料实物，视觉目标清晰
V272,timetable,en,education,chart,具体学习物料实物，视觉目标清晰
V273,数字表,zh,education,chart,具体学习物料实物，视觉目标清晰
V274,number chart,en,education,chart,具体学习物料实物，视觉目标清晰
V275,元素周期表,zh,education,chart,具体学习物料实物，视觉目标清晰
V276,periodic table,en,education,chart,具体学习物料实物，视觉目标清晰
V277,世界地图,zh,education,map,具体学习物料实物，视觉目标清晰
V278,world map,en,education,map,具体学习物料实物，视觉目标清晰
V279,拼读卡,zh,education,flashcard,具体学习物料实物，视觉目标清晰
V280,phonics card,en,education,flashcard,具体学习物料实物，视觉目标清晰
V281,试卷,zh,education,worksheet,具体学习物料实物，视觉目标清晰
V282,exam paper,en,education,worksheet,具体学习物料实物，视觉目标清晰
V283,成绩单,zh,education,certificate,具体学习物料实物，有清晰上下文的合成词
V284,report card,en,education,certificate,具体学习物料实物，有清晰上下文的合成词
V285,笔袋,zh,education,stationery,具体文具实物，视觉目标清晰
V286,pencil case,en,education,stationery,具体文具实物，视觉目标清晰
V287,黑板,zh,education,classroom_material,具体教室实物，视觉目标清晰
V288,chalkboard,en,education,classroom_material,具体教室实物，视觉目标清晰
V289,白板,zh,education,classroom_material,具体教室实物，视觉目标清晰
V290,whiteboard,en,education,classroom_material,具体教室实物，视觉目标清晰
V291,显微镜,zh,education,classroom_material,具体教室实物，视觉目标清晰
V292,microscope,en,education,classroom_material,具体教室实物，视觉目标清晰
V293,书签,zh,education,stationery,具体文具实物，视觉目标清晰
V294,bookmark,en,education,stationery,具体文具实物，视觉目标清晰
V295,算盘,zh,education,classroom_material,具体教具实物，视觉目标清晰
V296,abacus,en,education,classroom_material,具体教具实物，视觉目标清晰
V297,练习本,zh,education,worksheet,具体学习物料实物，视觉目标清晰
V298,workbook,en,education,worksheet,具体学习物料实物，视觉目标清晰
V299,单词卡,zh,education,flashcard,具体学习物料实物，视觉目标清晰
V300,vocabulary card,en,education,flashcard,具体学习物料实物，视觉目标清晰
V301,拼写卡,zh,education,flashcard,具体学习物料实物，视觉目标清晰
V302,spelling card,en,education,flashcard,具体学习物料实物，视觉目标清晰
V303,数学练习册,zh,education,worksheet,具体学习物料实物，视觉目标清晰
V304,math worksheet,en,education,worksheet,具体学习物料实物，视觉目标清晰
V305,阅读练习册,zh,education,worksheet,具体学习物料实物，视觉目标清晰
V306,reading worksheet,en,education,worksheet,具体学习物料实物，视觉目标清晰
V307,科学图解,zh,education,diagram,具体学习物料实物，视觉目标清晰
V308,science diagram,en,education,diagram,具体学习物料实物，视觉目标清晰
V309,人体图解,zh,education,chart,具体学习物料实物，视觉目标清晰
V310,anatomy chart,en,education,chart,具体学习物料实物，视觉目标清晰
V311,动物识字卡,zh,education,flashcard,具体学习物料实物，视觉目标清晰
V312,animal flashcard,en,education,flashcard,具体学习物料实物，视觉目标清晰
V313,字母海报,zh,education,poster_specific,具体学习物料实物，视觉目标清晰
V314,alphabet poster,en,education,poster_specific,具体学习物料实物，视觉目标清晰
V315,荣誉证书,zh,education,certificate,具体学习物料实物，视觉目标清晰
V316,achievement certificate,en,education,certificate,具体学习物料实物，视觉目标清晰
V317,毕业证,zh,education,certificate,具体学习物料实物，视觉目标清晰
V318,diploma,en,education,certificate,具体学习物料实物，视觉目标清晰
V319,校历,zh,education,calendar,具体学习物料实物，视觉目标清晰
V320,school calendar,en,education,calendar,具体学习物料实物，视觉目标清晰
V321,教室装饰,zh,education,classroom_material,具体教室物料实物，视觉目标清晰
V322,classroom decoration,en,education,classroom_material,具体教室物料实物，视觉目标清晰
V323,学习图表,zh,education,chart,具体学习物料实物，视觉目标清晰
V324,learning chart,en,education,chart,具体学习物料实物，视觉目标清晰
V325,贴纸奖励表,zh,education,chart,具体学习物料实物，视觉目标清晰
V326,reward chart,en,education,chart,具体学习物料实物，视觉目标清晰
